Unnamed: 0,LISTA DE PREÇOS - REF: 01/23,Unnamed: 1,Unnamed: 2
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
25002750-312BS,GAXETA  AG 4  2.3/4 X 3.1/4 X 5/16 ,"19,859 ",
25002750-375,GAXETA2.3/4 X 3.1/4 X 3/8 ,"17,642 ",
25002750-375BS,GAXETA  AG 4  2.3/4 X 3.1/4 X 3/8 ,"22,688 ",
25002875,GAXETA  2.7/8 X 3.3/8 X 1/4 ,"13,109 ",
25002875-375,GAXETA2.7/8 X 3.3/8 X 3/8 ,"17,642 ",
25002875-500,GAXETA  2.7/8 X 3.3/8 X1/2 ,"24,138 ",
25003000,GAXETA  3 X 3.1/2 X 1/4 ,"13,716 ",
25003000-375,GAXETA  3 X 3.1/2 X 3/8 ,"18,147 ",
25003000-375BS,GAXETA  AG 4  3 X 3.1/2 X 3/8 ,"25,913 ",
25003125,GAXETA  3.1/8 X 3.5/8 X 1/4 ,"14,420 ",
25003125-375,GAXETA  3.1/8 X 3.5/8 X 3/8 ,"18,954 ",
25003125-500,GAXETA  3.1/8 X 3.5/8 X 1/2 ,"23,738 ",
25003250,GAXETA  3.1/4 X 3.3/4 X 1/4 ,"15,121 ",
25003250-375,GAXETA  3.1/4 X 3.3/4 X 3/8 ,"19,665 ",
25003250-500,GAXETA  3.1/4 X 3.3/4 X 1/2 ,"24,201 ",
25003250-562,GAXETA  3.1/4 X 3.3/4 X 9/16 ,"28,711 ",
25003375,GAXETA  3.3/8 X 3.7/8 X 1/4 ,"15,925 ",
25003375-375,GAXETA3.3/8 X 3.7/8 X 3/8 ,"20,170 ",
25003500,GAXETA  3.1/2 X 4 X 1/4 ,"17,642 ",
25003500-375,GAXETA3.1/2 X 4 X 3/8 ,"20,972 ",
25003625,GAXETA  3.5/8 X 4.1/8 X 1/4 ,"18,147 ",
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
25003625-375,GAXETA3.5/8 X 4.1/8 X 3/8 ,"21,677 ",
25003625-500,GAXETA3.5/8 X 4.1/8 X 1/2 ,"28,739 ",
25003625-562,GAXETA  3.5/8 X 4.1/8 X 9/16 ,"31,093 ",
25003625-590,GAXETA  3.5/8 X 4.1/8 X 19/32 ,"39,364 ",
25003750,GAXETA  3.3/4 X 4.1/4 X 1/4 ,"18,654 ",
25003750-375,GAXETA3.3/4 X 4.1/4 X 3/8 ,"22,688 ",
25003750-500,GAXETA  3.3/4 X 4.1/4 X 1/2 ,"30,248 ",
25003750-562,GAXETA  3.3/4 X 4.1/4 X 9/16 ,"35,292 ",
25003875,GAXETA  3.7/8 X 4.3/8 X 1/4 ,"18,931 ",
25003875-375,GAXETA3.7/8 X 4.3/8 X 3/8 ,"24,201 ",
25004000,GAXETA  4 X 4.1/2 X 1/4 ,"19,665 ",
