Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
6525,619702559314,65,75,8,5,APC,39269090,2083800,1,PC,"12,09",6525
1824,619702559551,65,75,14,5,APC,39269090,2083800,1,PC,"19,16",1824
6560,629502559314,65,80,8,5,APC,39269090,2083800,1,PC,"17,14",6560
5830,629502559472,65,80,12,5,APC,39269090,2083800,1,PC,"25,21",5830
1994,637402560374,65,84,"9,5",5,APC,39269090,2083800,1,PC,"29,23",1994
6511,630302566507,"65,2","80,6","12,9",5,APC,39269090,2083800,1,PC,"26,72",6511
AG8442,612902570220,"65,3","71,85","5,6",5,APC,39269090,2083800,1,PC,"15,38",AG8442
AG8158,628502618472,"66,5",81,12,5,APC,39269090,2083800,1,PC,"21,44",AG8158
AG7335,637502625590,"66,68","85,73","14,99",5,APC,39269090,2083800,1,PC,"32,76",AG7335
5835,629502678472,68,82,12,5,APC,39269090,2083800,1,PC,"20,17",5835
6548,627602716413,69,83,"10,5",5,APC,39269090,2083800,1,PC,"23,19",6548
6645,623602756354,70,82,9,5,APC,39269090,2083800,1,PC,"23,19",6645
4821,623602756472,70,82,12,5,APC,39269090,2083800,1,PC,"25,17",4821
1411,625602756394,70,83,10,5,APC,39269090,2083800,1,PC,"23,19",1411
1608,629502756413,70,85,"10,5",5,APC,39269090,2083800,1,PC,"25,21",1608
1894,637402755590,70,89,15,5,APC,39269090,2083800,1,PC,"47,39",1894
3751,639402756425,70,90,"10,8",5,APC,39269090,2083800,1,PC,"28,30",3751
6688,639402756452,70,90,"11,5",5,APC,39269090,2083800,1,PC,"35,89",6688
1618,639402756472,70,90,12,5,APC,39269090,2083800,1,PC,"37,31",1618
3007,639402756570,70,90,"14,5",5,APC,39269090,2083800,1,PC,"45,37",3007
4823,615702835472,72,80,12,5,APC,39269090,2083800,1,PC,"28,20",4823
1847,627552834472,72,86,12,5,APC,39269090,2083800,1,PC,"30,25",1847
5720,625002874189,73,"85,7","4,8",5,APC,39269090,2083800,1,PC,"16,64",5720
6462,619702953472,75,85,12,5,APC,39269090,2083800,1,PC,"19,16",6462
4835,629502952472,75,90,12,5,APC,39269090,2083800,1,PC,"36,83",4835
5829,631502953429,75,91,"10,9",5,APC,39269090,2083800,1,PC,"34,29",5829
6957,631502992449,76,92,"11,4",5,APC,39269090,2083800,1,PC,"29,74",6957
3806,637503000531,"76,2","95,25","13,5",5,APC,39269090,2083800,1,PC,"58,48",3806
1606,639403011625,"76,5","96,5","15,9",5,APC,39269090,2083800,1,PC,"67,04",1606
3487,617703070393,78,87,10,5,APC,39269090,2083800,1,PC,"22,18",3487
5826,619703150314,80,90,8,5,APC,39269090,2083800,1,PC,"17,14",5826
1834,619703150393,80,90,10,5,APC,39269090,2083800,1,PC,"23,19",1834
1813,619703150511,80,90,13,5,APC,39269090,2083800,1,PC,"27,22",1813
3077,623603150464,80,92,"11,8",5,APC,39269090,2083800,1,PC,"30,25",3077
3061,629503150354,80,95,9,5,APC,39269090,2083800,1,PC,"29,23",3061
1831,639403150472,80,100,12,5,APC,39269090,2083800,1,PC,"52,93",1831
1884,639403150570,80,100,"14,5",5,APC,39269090,2083800,1,PC,"64,02",1884
1835,639403150590,80,100,15,5,APC,39269090,2083800,1,PC,"65,54",1835
4062,639403150625,80,100,"15,8",5,APC,39269090,2083800,1,PC,"68,06",4062
6561,618103185500,"80,9","90,1","12,7",5,APC,39269090,2083800,1,PC,"27,72",6561
1149,627553188500,81,95,"12,7",5,APC,39269090,2083800,1,PC,"39,32",1149
4061,627603200500,"81,3","95,3","12,7",5,APC,39269090,2083800,1,PC,"36,80",4061
3114,629503346393,85,100,10,5,APC,39269090,2083800,1,PC,"34,29",3114
1814,629503346472,85,100,12,5,APC,39269090,2083800,1,PC,"41,34",1814
4431,639403347590,85,105,15,5,APC,39269090,2083800,1,PC,"41,86",4431
AG7104,615703357472,"85,26","93,23",12,5,APC,39269090,2083800,1,PC,"28,99",AG7104
1412,627503464413,88,102,"10,5",5,APC,39269090,2083800,1,PC,"38,32",1412
6919,619703543228,90,100,"5,8",5,APC,39269090,2083800,1,PC,"29,22",6919
4830,619703543354,90,100,9,5,APC,39269090,2083800,1,PC,"34,90",4830
4831,619703543394,90,100,10,5,APC,39269090,2083800,1,PC,"35,17",4831
5828,625603543393,90,102,10,5,APC,39269090,2083800,1,PC,"35,29",5828
AG7948,629503543393,90,105,10,5,APC,39269090,2083800,1,PC,"37,11",AG7948
1631,639403543625,90,110,"15,9",5,APC,39269090,2083800,1,PC,"55,18",1631
AG7950,625003690500,"93,73","106,43","12,7",5,APC,39269090,2083800,1,PC,"33,23",AG7950
4059,629503740472,95,110,12,5,APC,39269090,2083800,1,PC,"45,37",4059
4055,639403740472,95,115,12,5,APC,39269090,2083800,1,PC,"62,01",4055
3871,625603819393,97,110,10,5,APC,39269090,2083800,1,PC,"27,28",3871
6534,615703858393,98,106,10,5,APC,39269090,2083800,1,PC,"24,70",6534
1570,627503858413,98,112,"10,5",5,APC,39269090,2083800,1,PC,"35,29",1570
1815,627553937472,100,114,12,5,APC,39269090,2083800,1,PC,"40,33",1815
6362,631503937429,100,116,"10,9",5,APC,39269090,2083800,1,PC,"42,35",6362
4051,639403937625,100,120,"15,8",5,APC,39269090,2083800,1,PC,"53,44",4051
3824,649203937500,100,125,"12,7",5,APC,39269090,2083800,1,PC,"80,66",3824
1818,627553976511,101,115,13,5,APC,39269090,2083800,1,PC,"48,40",1818
4045,620504000500,"101,6",112,"12,7",5,APC,39269090,2083800,1,PC,"40,33",4045
3823,639404016500,102,122,"12,7",5,APC,39269090,2083800,1,PC,"65,54",3823
4050,639404134590,105,125,15,5,APC,39269090,2083800,1,PC,"80,66",4050
1832,631504250472,108,124,12,5,APC,39269090,2083800,1,PC,"55,45",1832
1617,631504291413,109,125,"10,5",5,APC,39269090,2083800,1,PC,"55,45",1617
4041,637504325625,"109,8","128,8","15,8",5,APC,39269090,2083800,1,PC,"50,87",4041
3142,639404330625,110,130,"15,9",5,APC,39269090,2083800,1,PC,"52,22",3142
6958,643304330511,110,132,13,5,APC,39269090,2083800,1,PC,"77,43",6958
