Código;Descrição;Preço
25008000-562; GAXETA 8 X 8.1/2 X 9/16;82,959
25008250; GAXETA 8.1/4 X 8.3/4 X 1/4;78,388
25008250-562; GAXETA 8.1/4 X 8.3/4 X 9/16;88,488
25008500-562; GAXETA 8.1/2 X 9 X 9/16;94,025
25009500-562; GAXETA 9 1/2 X 10 X 9/16;106,774
3009; GAXETA AG 4 70,00 X 85,00 X 10,50;34,403
3058; RASPADOR TIPO D 63,00 X 72,00 X 5,00;11,336
3059; RASPADOR TIPO D 80,00 X 88,00 X 4,50;12,172
3060; RASPADOR TIPO D 85,00 X 94,00 X 5,00;13,833
3062; GAXETA AG 1 85,00 X 93,00 X 12,00;30,415
3063; GAXETA AG 2 111,00 X 119,00X 12,00;44,242
3064; RASPADOR TIPO D 112,00 X 120,00 X 5,00;12,723
3067; GAXETA AG 2 138,00 X 147,00 X 12,00;55,303
3068; RASPADOR TIPO D 139,00 X 148,00 X 5,00;22,129
3092; RASPADOR TIPO RP-25 46,80 X 57,15 X 5,30;13,263
3119; RASPADOR TIPO D 171,45 X 184,15 X 6,35;44,242
31200375; GAXETA 3/8 X 1 X 5/16;7,206
31200437; GAXETA 7/16 X 1.1/16 X 5/16;7,206
31200500; GAXETA 1/2 X 1.1/8 X 5/16;6,229
31200562; GAXETA 9/16 X 1.3/16 X 5/16;7,810
31200625; GAXETA 5/8 X 1.1/4 X 5/16;7,192
31200625-500; GAXETA 5/8 X 1.1/4 X 1/2;12,172
31200687; GAXETA 11/16 X 1.5/16 X 5/16;7,955
31200750; GAXETA 3/4 X 1.3/8 X 5/16;7,744
31200750-500; GAXETA 3/4 X 1.3/8 X 1/2;13,602
31200875; GAXETA 7/8 X 1.1/2 X 5/16;8,847
31200875-500; GAXETA 7/8 X 1.1/2 X 1/2;15,102
31200937; GAXETA 15/16 X 1.9/16 X 5/16;7,650
31201000; GAXETA 1 X 1.5/8 X 5/16;9,400
31201000-500; GAXETA 1 X 1.5/8 X 1/2;16,589
31201062; GAXETA 1.1/16 X 1.11/16 X 5/16;8,875
31201125; GAXETA 1.1/8 X 1.3/4 X 5/16;7,744
31201125-500; GAXETA 1.1/8 X 1.3/4 X 1/2;17,148
31201187; GAXETA 1.3/16 X 1.13/16 X 5/16;10,949
31201250; GAXETA 1.1/4 X 1.7/8 X 5/16;11,066
31201250-500; GAXETA 1.1/4 X 1.7/8 X 1/2;17,420
31201312; GAXETA 1.5/16 X 1.15/16 X 5/16;11,777
31201375; GAXETA 1.3/8 X 2 X 5/16;12,172
31201375-500; GAXETA 1.3/8 X 2 X 1/2;17,701
31201437; GAXETA 1.7/16 X 2.1/16 X 5/16;12,757
31201437-500; GAXETA 1.7/16 X 2 .1/16 X 1/2;18,096
31201500; GAXETA 1.1/2 X 2.1/8 X 5/16;13,263
31201500-500; GAXETA 1.1/2 X 2.1/8 X 1/2;18,251
31201625; GAXETA 1.5/8 X 2.1/4 X 5/16;14,163
31201625-500; GAXETA 1.5/8 X 2.1/4 X 1/2;17,979
31201750; GAXETA 1.3/4 X 2.3/8 X 5/16;14,928
31201750-500; GAXETA 1.3/4 X 2.3/8 X 1/2;19,086
31201875; GAXETA 1.7/8 X 2.1/2 X 5/16;16,042
31201875-500; GAXETA 1.7/8 X 2.1/2 X 1/2;19,909
31202000; GAXETA 2 X 2.5/8 X 5/16;16,589
31202000-500; GAXETA 2 X 2.5/8 X 1/2;21,622
31202125; GAXETA 2.1/8 X 2.3/4 X 5/16;17,863
31202125-375; GAXETA 2.1/8 X 2.3/4 X 3/8;22,129
31202125-500; GAXETA 2.1/8 X 2.3/4 X 1/2;22,413
31202250; GAXETA 2.1/4 X 2.7/8 X 5/16;18,804
31202250-500; GAXETA 2.1/4 X 2.7/8 X 1/2;22,129
31202375; GAXETA 2.3/8 X 3 X 5/16;19,355
31202375-500; GAXETA 2.3/8 X 3 X 1/2;23,232
31202500; GAXETA 2.1/2 X 3.1/8 X 5/16;20,465
31202500-500; GAXETA 2.1/2 X 3.1/8 X 1/2;24,067
31202625; GAXETA 2.5/8 X 3.1/4 X 5/16;21,574
31202625-500; GAXETA 2.5/8 X 3.1/4 X 1/2;24,395
31202750; GAXETA 2.3/4 X 3.3/8 X 5/16;22,129
31202750-500; GAXETA 2.3/4 X 3.3/8 X 1/2;25,725
31202750-625; GAXETA 2.3/4 X 3.3/8 X 5/8;29,735
31202875; GAXETA 2.7/8 X 3.1/2 X 5/16;23,232
31202875-500; GAXETA 2.7/8 X 3.1/2 X 1/2;26,711
31203000; GAXETA 3 X 3.5/8 X 5/16;24,330
31203000-500; GAXETA 3 X 3.5/8 X 1/2;27,653
31203125; GAXETA 3.1/8 X 3.3/4 X 5/16;25,440
31203125-500; GAXETA 3.1/8 X 3.3/4 X 1/2;32,071
31203250; GAXETA 3.1/4 X 3.7/8 X 5/16;25,992
31203250-326; GAXETA 3.1/4 X 3.7/8 X 21/64;31,235
